,0
799,31
800,2
801,37
802,3
803,62
804,20
805,2
806,3
807,0
808,2
809,122
810,6
811,31
812,1
813,0
814,1
815,605
816,4
817,9
818,5
819,2
820,14
821,4
822,1
823,7
824,2
825,6
826,3
827,3
828,7
829,6
830,8
831,12
832,2
833,4
834,1
835,1
836,8
837,65
838,2
839,14
840,1
841,0
842,18
843,15
844,2
845,719
846,13
847,10
848,8
849,1
850,14
851,4
852,9
853,2
854,0
855,0
856,0
857,1
858,12
859,8
860,12
861,7
862,20
863,8
864,12
865,14
866,9
867,30
868,9
869,15
870,8
871,8
872,14
873,3
874,7
875,4
876,4
877,1
878,3
879,8
880,6
881,13
882,5
883,12
884,5
885,3
886,3
887,1
888,1
889,18
890,37
891,37
892,24
893,0
894,7
895,11
896,2
897,5
898,7
899,61
900,0
901,17
902,21
903,19
904,14
905,0
906,4
907,58
908,0
909,9
910,2
911,11
912,16
913,5
914,7
915,172
916,6
917,36
918,22
919,12
920,0
921,2
922,13
923,69
924,34
925,4
926,67
927,3
928,7
929,2
930,57
931,127
932,3
933,8
934,2
935,3
936,6
937,11
938,19
939,30
940,9
941,2
942,70
943,3
944,2
945,8
946,3
947,0
948,24
949,29
950,29
951,5
952,4
953,0
954,3
955,12
956,8
957,23
958,60
959,4
960,49
961,41
962,11
963,5
964,4
965,2
966,71
967,118
968,11
969,17
970,1
971,6
972,1
973,7
974,4
975,27
976,3
977,28
978,4
979,1
980,3
981,3
982,6
983,2
984,1
985,3
986,12
987,24
988,119
989,2
990,8
991,12
992,3
993,4
994,1
995,2
996,4
997,7
998,3
999,1
1000,1
1001,7
1002,31
1003,7
1004,3
1005,16
1006,6
1007,8
1008,2
1009,3
1010,4
1011,6
1012,39
1013,46
1014,2
1015,8
1016,12
1017,42
1018,12
1019,3
1020,2
1021,4
1022,0
1023,4
1024,1
1025,1
1026,3
1027,12
1028,9
1029,60
1030,1
1031,45
1032,7
1033,7
1034,1
1035,97
1036,10
1037,0
1038,6
1039,4
1040,2
1041,32
1042,1
1043,6
1044,6
1045,2
1046,4
1047,3
1048,5
1049,12
1050,355
