,0
799,21
800,2
801,37
802,0
803,105
804,11
805,14
806,1
807,2
808,1
809,53
810,7
811,86
812,3
813,0
814,2
815,6
816,0
817,1
818,2
819,0
820,12
821,0
822,1
823,3
824,1
825,0
826,1
827,4
828,27
829,1
830,2
831,1
832,11
833,5
834,0
835,0
836,10
837,269
838,2
839,22
840,0
841,0
842,53
843,19
844,0
845,8
846,16
847,15
848,18
849,2
850,14
851,3
852,5
853,2
854,1
855,1
856,15
857,0
858,3
859,1
860,9
861,2
862,15
863,13
864,8
865,10
866,11
867,19
868,13
869,7
870,1
871,2
872,4
873,8
874,13
875,1
876,6
877,0
878,4
879,16
880,15
881,18
882,5
883,5
884,5
885,7
886,7
887,0
888,7
889,16
890,3
891,9
892,42
893,0
894,0
895,25
896,0
897,16
898,5
899,16
900,1
901,0
902,8
903,13
904,0
905,1
906,5
907,57
908,2
909,9
910,0
911,5
912,7
913,5
914,19
915,13
916,7
917,6
918,0
919,2
920,2
921,2
922,6
923,24
924,2
925,3
926,26
927,5
928,0
929,5
930,15
931,41
932,0
933,7
934,1
935,2
936,0
937,62
938,2
939,4
940,3
941,3
942,38
943,3
944,3
945,11
946,0
947,0
948,3
949,15
950,2
951,8
952,2
953,1
954,5
955,7
956,11
957,6
958,19
959,18
960,2
961,10
962,7
963,2
964,5
965,3
966,37
967,154
968,5
969,14
970,2
971,11
972,1
973,14
974,4
975,2
976,5
977,12
978,14
979,8
980,1
981,0
982,19
983,0
984,0
985,4
986,23
987,7
988,6
989,1
990,9
991,16
992,7
993,19
994,12
995,3
996,2
997,5
998,4
999,3
1000,0
1001,0
1002,33
1003,9
1004,3
1005,5
1006,35
1007,5
1008,0
1009,1
1010,3
1011,5
1012,33
1013,6
1014,1
1015,2
1016,3
1017,33
1018,13
1019,3
1020,39
1021,18
1022,0
1023,3
1024,3
1025,0
1026,3
1027,6
1028,8
1029,3
1030,1
1031,219
1032,3
1033,2
1034,11
1035,7
1036,9
1037,0
1038,1
1039,2
1040,1
1041,25
1042,1
1043,0
1044,17
1045,4
1046,3
1047,1
1048,8
1049,7
1050,7
1051,2
1052,71
1053,3
1054,5
1055,0
1056,1
1057,4
1058,40
1059,6
1060,34
1061,5
1062,14
1063,2
1064,16
1065,9
1066,57
1067,6
1068,2
1069,72
1070,3
1071,2
1072,0
1073,0
1074,1
1075,33
1076,2
1077,32
1078,1
1079,1
1080,5
1081,4
1082,1
1083,1
1084,13
1085,27
1086,1
1087,14
1088,9
1089,3
1090,4
1091,18
1092,1
1093,22
1094,7
1095,3
1096,73
1097,21
1098,4
1099,20
1100,0
1101,7
1102,22
1103,14
1104,3
1105,1
1106,109
1107,1
1108,66
1109,9
1110,23
1111,6
1112,2
1113,4
1114,83
1115,7
1116,8
1117,17
1118,7
1119,1
1120,51
1121,3
1122,12
1123,1
1124,29
1125,5
1126,2
1127,6
1128,10
1129,1
1130,0
1131,23
1132,0
1133,42
1134,6
1135,4
1136,0
1137,1
1138,0
1139,0
1140,2
1141,32
1142,66
1143,7
1144,0
1145,1
1146,9
1147,5
1148,26
1149,1
1150,6
1151,12
1152,41
1153,13
1154,2
1155,2
1156,5
1157,2
1158,2
1159,1
1160,2
1161,15
1162,15
1163,20
1164,8
1165,11
1166,25
1167,146
1168,2
1169,0
1170,6
1171,0
1172,0
1173,2
1174,10
1175,38
1176,24
1177,25
1178,1
1179,8
1180,0
1181,3
1182,2
1183,40
1184,17
1185,1
